,chile,cover,fraud_car_insur,fraud_creditcard,korean5,mammography,piechart2,pizzacutter1,satellite,winequality,AP,F1MAX,AP,F1MAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap_elkno,0.236182513,0.89615557,0.08097553,0.30844479,0.065121887,0.244485917,0.049395379,0.256775248,0.600913668,0.057499751,ap,ap_elk,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_elkno,0.004908537,0.282447425,0,0.089105783,0,0.002777778,0,0,0.183126165,0,f1,f1_elk,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_ci_elkno,0.064213339,0.427070747,0,0.136988939,0,0.094997934,0,0.044832,0.323077076,0.010644258,f1,f1_ci_,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_max_elkno,0.20291472,0.691686987,0.128720387,0.234809246,0.094013726,0.155147885,0.021071429,0.236712202,0.608978487,0.050852495,f1,f1_max,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roc_spyem,0.634894093,0.984823988,0.75251709,0.913467446,0.675597457,0.909553389,0.590684931,0.680131489,0.788724782,0.599683459,ro,roc_sp,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap_spyem,0.105411377,0.41857413,0.135399783,0.037988525,0.086875315,0.309965316,0.06169739,0.172042209,0.117280682,0.072453888,ap,ap_spy,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_spyem,0.117292108,0.362616461,0.172963483,0.046166227,0.057965931,0.224035746,0.083648515,0.229260361,0.071001203,0.08332632,f1,f1_spy,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_ci_spyem,0.117950191,0.175841004,0.168876814,0.03814809,0.071432584,0.140513417,0.082005688,0.226068051,0.069456099,0.084011889,f1,f1_ci_,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_max_spyem,0.122230922,0.489458382,0.187715213,0.051738676,0.145306807,0.292780584,0.098756955,0.241460693,0.077910483,0.127856902,f1,f1_max,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roc_rnkpr,0.855046835,0.995461588,0.799311367,0.880320534,0.670630198,0.92741041,0.621940639,0.7046875,0.907696211,0.713826778,ro,roc_rn,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap_rnkpr,0.407365518,0.916614374,0.167192783,0.487346753,0.126078008,0.609856161,0.056053535,0.234186802,0.557625823,0.158773105,ap,ap_rnk,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_rnkpr,0.417244698,0.891651034,0.231703681,0.509251231,0.136694957,0.598051023,0.079218231,0.299080013,0.539569103,0.13699419,f1,f1_rnk,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_ci_rnkpr,0.228645559,0.80111915,0.206007522,0.508253413,0.106748008,0.232645444,0.073591837,0.28631681,0.371904687,0.091574303,f1,f1_ci_,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_max_rnkpr,0.451613035,0.906828873,0.255229216,0.570604257,0.200107704,0.620053869,0.082464712,0.327471007,0.598737432,0.245797502,f1,f1_max,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roc_welog,0.853349367,0.999428963,0.801827029,0.755906511,0.677829558,0.929676377,0.556255708,0.70380806,0.919979395,0.715220905,ro,roc_we,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap_welog,0.379466542,0.956175542,0.164152077,0.235739561,0.136212254,0.52021902,0.060381448,0.28006236,0.6181442,0.155765099,ap,ap_wel,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_welog,0.293156374,0.854312313,0.229726192,0.283975191,0.138966421,0.282259592,0.047094141,0.30414431,0.457291019,0.132931733,f1,f1_wel,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_ci_welog,0.12291912,0.339373663,0.15417506,0.273194535,0.095390444,0.048635096,0.043482124,0.239760927,0.21437726,0.069904753,f1,f1_ci_,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_max_welog,0.424927781,0.925521591,0.256729781,0.325545653,0.210547623,0.579417175,0.064289186,0.363429875,0.618855672,0.253217562,f1,f1_max,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ap_srf_puhd,ap_rf_puhd,ap_rf,ap_dt_puhd,ap_dt_hd,ap_upu,ap_nnpu,ap_imbnnpu,ap_pubag,ap_elkno,ap_spyem,ap_welog,ap_rnkpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chile,0.651845285,0.633775019,0.574142069,0.377102268,0.347106999,0.496919138,0.636442219,0.627056758,0.374391604,0.236182513,0.105411377,0.379466542,0.407365518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cover,0.953877033,0.95227524,0.946684193,0.740868996,0.742656929,0.853910431,0.945006939,0.945579196,0.888617207,0.89615557,0.41857413,0.956175542,0.916614374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fraud_car_insur,0.188704182,0.184980686,0.16372756,0.166488738,0.165039167,0.179243268,0.169377525,0.167656184,0.12496793,0.08097553,0.135399783,0.164152077,0.167192783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fraud_creditcard,0.790451082,0.773212338,0.767603071,0.287540476,0.311083333,0.648125685,0.712259294,0.693487964,0.565798345,0.30844479,0.037988525,0.235739561,0.487346753,,,,f1_max_srf_puhd,f1_max_rf_puhd,f1_max_rf,f1_max_upu,f1_max_nnpu,f1_max_imbnnpu,f1_max_dt_puhd,f1_max_dt_hd,f1_max_pubag,f1_max_elkno,f1_max_spyem,f1_max_welog,f1_max_rnkpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
korean5,0.717115352,0.723150022,0.522623775,0.663198088,0.668359582,0.730474966,0.722588864,0.746258674,0.198070991,0.065121887,0.086875315,0.136212254,0.126078008,,,chile,0.629669918,0.627310697,0.578219918,0.521781296,0.594463214,0.591163376,0.473155652,0.455300111,0.462711102,0.20291472,0.122230922,0.424927781,0.451613035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mammography,0.640116493,0.65146339,0.555249249,0.457640289,0.442975461,0.570319988,0.588656632,0.586183189,0.295009494,0.244485917,0.309965316,0.52021902,0.609856161,,,cover,0.924755143,0.921730082,0.908073936,0.872399312,0.914385607,0.914445697,0.85514266,0.850734091,0.912148563,0.691686987,0.489458382,0.925521591,0.906828873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piechart2,0.073805095,0.068844187,0.112683905,0.042960318,0.039581731,0.098166044,0.100926501,0.12326863,0.10419929,0.049395379,0.06169739,0.060381448,0.056053535,,,fraud_car_insur,0.252676948,0.249362989,0.246797477,0.238658453,0.233892771,0.239109747,0.242544415,0.242656606,0.226046973,0.128720387,0.187715213,0.256729781,0.255229216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pizzacutter1,0.331467502,0.347132505,0.309659716,0.179976011,0.166908604,0.255463235,0.33549983,0.326262444,0.292480686,0.256775248,0.172042209,0.28006236,0.234186802,,,fraud_creditcard,0.850631313,0.826502664,0.821553169,0.713131313,0.73997114,0.742218615,0.44049062,0.463582251,0.689175408,0.234809246,0.051738676,0.325545653,0.570604257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
satellite,0.764423017,0.767719675,0.700550976,0.457867872,0.39330503,0.634050072,0.747482817,0.74585542,0.736254505,0.600913668,0.117280682,0.6181442,0.557625823,,,korean5,0.729916893,0.734018267,0.589304958,0.755019853,0.71706924,0.734860751,0.789686308,0.80168721,0.344237305,0.094013726,0.145306807,0.210547623,0.200107704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
winequality,0.128487673,0.119566451,0.105899124,0.057711927,0.057254684,0.101015263,0.119525703,0.109217154,0.113520999,0.057499751,0.072453888,0.155765099,0.158773105,,,mammography,0.645925497,0.658309698,0.582855776,0.626785159,0.606568305,0.604241411,0.558062279,0.553958203,0.466483907,0.155147885,0.292780584,0.579417175,0.620053869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,piechart2,0.162136761,0.162280832,0.215592509,0.17860941,0.159324095,0.215226287,0.098176886,0.075432179,0.207736258,0.021071429,0.098756955,0.064289186,0.082464712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,pizzacutter1,0.393540023,0.413532072,0.383739335,0.356599617,0.394340241,0.39465819,0.268008333,0.263129218,0.40169358,0.236712202,0.241460693,0.363429875,0.327471007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,satellite,0.757572143,0.767872313,0.685650063,0.643429496,0.748487937,0.739373033,0.624241786,0.56212558,0.749902118,0.608978487,0.077910483,0.618855672,0.598737432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,winequality,0.234570792,0.226870969,0.202465627,0.203526066,0.190671894,0.171544951,0.134371314,0.12837614,0.232555174,0.050852495,0.127856902,0.253217562,0.245797502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,roc_upu,ap_upu,f1_upu,f1_ci_upu,f1_max_upu,roc_nnpu,ap_nnpu,f1_nnpu,f1_ci_nnpu,f1_max_nnpu,roc_imbnnpu,ap_imbnnpu,f1_imbnnpu,f1_ci_imbnnpu,f1_max_imbnnpu,roc_dt_hd,ap_dt_hd,f1_dt_hd,f1_ci_dt_hd,f1_max_dt_hd,roc_dt_puhd,ap_dt_puhd,f1_dt_puhd,f1_ci_dt_puhd,f1_max_dt_puhd,roc_rf,ap_rf,f1_rf,f1_ci_rf,f1_max_rf,roc_rf_puhd,ap_rf_puhd,f1_rf_puhd,f1_ci_rf_puhd,f1_max_rf_puhd,roc_srf_puhd,ap_srf_puhd,f1_srf_puhd,f1_ci_srf_puhd,f1_max_srf_puhd,roc_pubag,ap_pubag,f1_pubag,f1_ci_pubag,f1_max_pubag,roc_elkno,ap_elkno,f1_elkno,f1_ci_elkno,f1_max_elkno,roc_spyem,ap_spyem,f1_spyem,f1_ci_spyem,f1_max_spyem,roc_rnkpr,ap_rnkpr,f1_rnkpr,f1_ci_rnkpr,f1_max_rnkpr,roc_welog,ap_welog,f1_welog,f1_ci_welog,f1_max_welog
chile,0.918798523,0.496919138,0.462970083,0.412793048,0.521781296,0.944662025,0.636442219,0.324408174,0.567305701,0.594463214,0.942923629,0.627056758,0.315171641,0.561450264,0.591163376,0.833391561,0.347106999,0.156844991,0.409961069,0.455300111,0.834544093,0.377102268,0.216051284,0.399727647,0.473155652,0.929765401,0.574142069,0.394766441,0.194149735,0.578219918,0.927844726,0.633775019,0.076125002,0.479610442,0.627310697,0.937244937,0.651845285,0.193183286,0.40650413,0.629669918,0.873190295,0.374391604,0.268853216,0.13904721,0.462711102,0.707294093,0.236182513,0.004908537,0.064213339,0.20291472,0.634894093,0.105411377,0.117292108,0.117950191,0.122230922,0.855046835,0.407365518,0.417244698,0.228645559,0.451613035,0.853349367,0.379466542,0.293156374,0.12291912,0.424927781
cover,0.975293353,0.853910431,0.834970086,0.719212026,0.872399312,0.995668764,0.945006939,0.597490791,0.901660979,0.914385607,0.993455704,0.945579196,0.563153096,0.890337821,0.914445697,0.906459279,0.742656929,0.486488244,0.849541841,0.850734091,0.905603593,0.740868996,0.847282172,0.85514266,0.85514266,0.998556448,0.946684193,0.781503485,0.405133348,0.908073936,0.996935898,0.95227524,0.376155698,0.521696274,0.921730082,0.997830174,0.953877033,0.623301119,0.516401532,0.924755143,0.99927982,0.888617207,0.618585877,0.117004416,0.912148563,0.996074119,0.89615557,0.282447425,0.427070747,0.691686987,0.984823988,0.41857413,0.362616461,0.175841004,0.489458382,0.995461588,0.916614374,0.891651034,0.80111915,0.906828873,0.999428963,0.956175542,0.854312313,0.339373663,0.925521591
