,chile,cover,fraud_car_insur,fraud_creditcard,korean5,mammography,piechart2,pizzacutter1,satellite,winequality,AP,F1MAX,AP,F1MAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roc_upu,0.918798523,0.975293353,0.774657013,0.935445743,0.91842797,0.854721965,0.702123288,0.722318989,0.923847491,0.669096848,ro,roc_up,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap_upu,0.496919138,0.853910431,0.179243268,0.648125685,0.730474966,0.570319988,0.098166044,0.255463235,0.634050072,0.101015263,ap,ap_upu,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_upu,0.462970083,0.834970086,0.196354775,0.589020707,0.689958459,0.586596779,0.103844146,0.306554587,0.568428332,0.163898944,f1,f1_upu,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_ci_upu,0.412793048,0.719212026,0.231145677,0.203001247,0.579514096,0.463556121,0.114054367,0.300467047,0.445719346,0.135697471,f1,f1_ci_,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_max_upu,0.521781296,0.872399312,0.238658453,0.713131313,0.755019853,0.626785159,0.17860941,0.356599617,0.643429496,0.203526066,f1,f1_max,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roc_nnpu,0.944662025,0.995668764,0.781739214,0.944991653,0.92311801,0.904662482,0.691621005,0.790582309,0.944204392,0.708411907,ro,roc_nn,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap_nnpu,0.636442219,0.945006939,0.169377525,0.712259294,0.722588864,0.588656632,0.100926501,0.33549983,0.747482817,0.119525703,ap,ap_nnp,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_nnpu,0.324408174,0.597490791,0.045010274,0.360436508,0.487796941,0.37925348,0.0125,0.159249939,0.526847738,0.017027864,f1,f1_nnp,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_ci_nnpu,0.567305701,0.901660979,0.186407765,0.551588893,0.694169905,0.591927624,0.10090372,0.298804854,0.699563819,0.129757764,f1,f1_ci_,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_max_nnpu,0.594463214,0.914385607,0.233892771,0.73997114,0.71706924,0.606568305,0.159324095,0.394340241,0.748487937,0.190671894,f1,f1_max,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roc_imbnnpu,0.942923629,0.993455704,0.781641745,0.949472454,0.928269286,0.92528096,0.714109589,0.784938525,0.942252276,0.680872845,ro,roc_im,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap_imbnnpu,0.627056758,0.945579196,0.167656184,0.693487964,0.746258674,0.586183189,0.12326863,0.326262444,0.74585542,0.109217154,ap,ap_imb,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_imbnnpu,0.315171641,0.563153096,0.038408101,0.323452381,0.420188392,0.33252723,0.011111111,0.120597327,0.51670102,0.010526316,f1,f1_imb,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_ci_imbnnpu,0.561450264,0.890337821,0.192418544,0.357089614,0.695407467,0.584250696,0.145609592,0.318826298,0.657734071,0.122682651,f1,f1_ci_,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_max_imbnnpu,0.591163376,0.914445697,0.239109747,0.742218615,0.734860751,0.604241411,0.215226287,0.39465819,0.739373033,0.171544951,f1,f1_max,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roc_dt_hd,0.833391561,0.906459279,0.782173069,0.674933222,0.88499068,0.825242686,0.525456621,0.639924863,0.741983946,0.549868669,ro,roc_dt,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap_dt_hd,0.347106999,0.742656929,0.165039167,0.311083333,0.668359582,0.442975461,0.039581731,0.166908604,0.39330503,0.057254684,ap,ap_dt_,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_dt_hd,0.156844991,0.486488244,0.02974307,0.463582251,0.329420747,0.183143477,0.035876623,0.090104495,0.446338281,0.016199813,f1,f1_dt_,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_ci_dt_hd,0.409961069,0.849541841,0.234271318,0.463582251,0.710332015,0.382764734,0.066741703,0.246426621,0.446754524,0.101901793,f1,f1_ci_,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_max_dt_hd,0.455300111,0.850734091,0.242656606,0.463582251,0.80168721,0.553958203,0.075432179,0.263129218,0.56212558,0.12837614,f1,f1_max,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roc_dt_puhd,0.834544093,0.905603593,0.78282629,0.694796327,0.871305325,0.832566553,0.541643836,0.641589822,0.785331068,0.558873249,ro,roc_dt,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap_dt_puhd,0.377102268,0.740868996,0.166488738,0.287540476,0.663198088,0.457640289,0.042960318,0.179976011,0.457867872,0.057711927,ap,ap_dt_,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_dt_puhd,0.216051284,0.847282172,0.037813965,0.42049062,0.695942661,0.401188956,0.02020202,0.171192909,0.623068766,0.019665286,f1,f1_dt_,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_ci_dt_puhd,0.399727647,0.85514266,0.232315794,0.44049062,0.707983699,0.3823515,0.088418589,0.240279045,0.489944722,0.109320052,f1,f1_ci_,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_max_dt_puhd,0.473155652,0.85514266,0.242544415,0.44049062,0.789686308,0.558062279,0.098176886,0.268008333,0.624241786,0.134371314,f1,f1_max,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roc_rf,0.929765401,0.998556448,0.784917652,0.938387312,0.89092582,0.927347635,0.713173516,0.810860656,0.968281769,0.737365302,ro,roc_rf,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap_rf,0.574142069,0.946684193,0.16372756,0.767603071,0.522623775,0.555249249,0.112683905,0.309659716,0.700550976,0.105899124,ap,ap_rf,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_rf,0.394766441,0.781503485,0.005981904,0.34047619,0.440195059,0.557989655,0.026785714,0.201877661,0.577910912,0.090798427,f1,f1_rf,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_ci_rf,0.194149735,0.405133348,0.220163656,0.201041299,0.272303352,0.16271021,0.118870879,0.302059761,0.188211885,0.112469714,f1,f1_ci_,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_max_rf,0.578219918,0.908073936,0.246797477,0.821553169,0.589304958,0.582855776,0.215592509,0.383739335,0.685650063,0.202465627,f1,f1_max,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roc_rf_puhd,0.927844726,0.996935898,0.785878398,0.933924875,0.925008365,0.927431131,0.673333333,0.796439549,0.946585527,0.710957705,ro,roc_rf,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap_rf_puhd,0.633775019,0.95227524,0.184980686,0.773212338,0.723150022,0.65146339,0.068844187,0.347132505,0.767719675,0.119566451,ap,ap_rf_,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_rf_puhd,0.076125002,0.376155698,0,0.097619048,0.228670181,0.183208067,0,0.040522876,0.3717617,0,f1,f1_rf_,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_ci_rf_puhd,0.479610442,0.521696274,0.241027608,0.255564167,0.548367745,0.452255981,0.098558186,0.327871278,0.414260856,0.177397538,f1,f1_ci_,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_max_rf_puhd,0.627310697,0.921730082,0.249362989,0.826502664,0.734018267,0.658309698,0.162280832,0.413532072,0.767872313,0.226870969,f1,f1_max,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roc_srf_puhd,0.937244937,0.997830174,0.795126478,0.938804674,0.92618894,0.929478547,0.67783105,0.790872609,0.951959804,0.715207435,ro,roc_sr,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap_srf_puhd,0.651845285,0.953877033,0.188704182,0.790451082,0.717115352,0.640116493,0.073805095,0.331467502,0.764423017,0.128487673,ap,ap_srf,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_srf_puhd,0.193183286,0.623301119,0.009884435,0.379880952,0.435331952,0.371499156,0.016666667,0.166639147,0.51481999,0,f1,f1_srf,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_ci_srf_puhd,0.40650413,0.516401532,0.23884754,0.222543104,0.475922436,0.411514696,0.108646933,0.314506142,0.366886597,0.160299109,f1,f1_ci_,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_max_srf_puhd,0.629669918,0.924755143,0.252676948,0.850631313,0.729916893,0.645925497,0.162136761,0.393540023,0.757572143,0.234570792,f1,f1_max,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roc_pubag,0.873190295,0.99927982,0.770594218,0.941903172,0.739991397,0.924493784,0.765296804,0.821149249,0.985595553,0.726208917,ro,roc_pu,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap_pubag,0.374391604,0.888617207,0.12496793,0.565798345,0.198070991,0.295009494,0.10419929,0.292480686,0.736254505,0.113520999,ap,ap_pub,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_pubag,0.268853216,0.618585877,0.221677922,0.458269682,0.137429145,0.267175164,0.097712146,0.305327853,0.363245243,0.119880652,f1,f1_pub,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_ci_pubag,0.13904721,0.117004416,0.221663326,0.321094092,0.113735693,0.14651661,0.052564937,0.204944069,0.084878966,0.072981731,f1,f1_ci_,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_max_pubag,0.462711102,0.912148563,0.226046973,0.689175408,0.344237305,0.466483907,0.207736258,0.40169358,0.749902118,0.232555174,f1,f1_max,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roc_elkno,0.707294093,0.996074119,0.57678157,0.835959933,0.535070739,0.689540102,0.468173516,0.623668033,0.914634334,0.524171606,ro,roc_el,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
