,ap_srf_puhd,ap_rf_puhd,ap_rf,ap_dt_puhd,ap_dt_hd,ap_upu,ap_nnpu,ap_imbnnpu,ap_pubag,ap_elkno,ap_spyem,ap_welog,ap_rnkpr,,f1_max_srf_puhd,f1_max_rf_puhd,f1_max_rf,f1_max_dt_puhd,f1_max_dt_hd,f1_max_upu,f1_max_nnpu,f1_max_imbnnpu,f1_max_pubag,f1_max_elkno,f1_max_spyem,f1_max_welog,f1_max_rnkpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Churn Chile,71.5,69.6,64.2,40.6,38.4,63.3,70.9,70.2,34.0,37.5,9.8,37.2,39.2,,67.0,66.0,62.7,46.4,46.3,61.0,65.7,65.3,46.3,26.1,13.0,43.3,43.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forest Cover,97.9,97.7,97.3,80.1,80.4,91.5,96.5,96.6,87.0,95.2,40.4,96.1,96.0,,94.8,94.6,93.6,88.9,88.3,91.7,93.9,94.3,90.8,92.6,48.5,91.9,92.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fraud Car Insurance,21.0,20.8,17.6,18.0,17.7,21.0,19.1,19.0,12.4,9.0,11.7,17.5,17.7,,26.6,26.8,25.1,25.6,25.4,26.6,25.7,25.7,22.5,14.1,14.3,27.0,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fraud Credit Card,77.1,77.6,72.0,39.8,37.1,72.3,74.5,74.8,49.5,37.1,3.4,34.5,52.3,,84.9,85.0,80.3,57.3,52.5,78.0,80.1,80.0,64.1,24.9,4.8,42.1,61.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Churn Korea,78.2,80.0,67.2,74.3,73.6,77.0,79.5,80.0,16.4,6.9,8.3,15.6,15.4,,80.2,81.3,69.4,83.4,82.9,82.3,81.5,82.2,29.9,10.2,14.9,22.6,22.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mammography,68.1,69.0,60.9,47.9,48.6,63.0,64.6,64.2,27.0,54.3,29.3,53.5,60.2,,67.3,68.1,62.9,55.3,57.8,65.9,65.7,65.2,44.3,12.8,27.2,59.4,63.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pie Chart 2,9.6,7.8,11.6,6.0,4.4,11.0,10.4,12.6,10.9,8.0,6.1,9.3,6.2,,18.9,16.5,21.5,13.2,11.8,21.7,16.7,22.0,21.2,2.9,8.2,13.4,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pizza Cutter 1,38.4,38.0,36.4,17.8,17.8,30.8,36.9,36.1,28.7,30.5,16.2,33.1,28.4,,44.5,44.7,43.7,26.9,26.3,37.6,42.6,41.1,41.4,28.0,26.2,38.9,35.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Satellite,80.7,80.2,75.4,45.8,46.7,69.9,75.7,76.6,72.4,71.8,6.1,75.5,68.3,,78.3,77.7,72.6,61.8,63.8,70.2,74.9,74.2,75.6,67.4,6.3,73.2,69.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
