,chile,cover,fraud_car_insur,fraud_creditcard,korean5,mammography,piechart2,pizzacutter1,satellite,winequality,AP,F1MAX,AP,F1MAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roc_imbnnpu,0.959152321,0.996205272,0.799066588,0.956834724,0.930626852,0.921229156,0.759817352,0.797233606,0.95887563,0.693770205,ro,roc_im,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap_imbnnpu,0.701678686,0.966146607,0.189916457,0.748326309,0.800186177,0.641836256,0.125799154,0.360785858,0.765681406,0.09215715,ap,ap_imb,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_imbnnpu,0.490816937,0.839669282,0.083212589,0.477539682,0.7184602,0.521009851,0,0.207517088,0.671380177,0.011145511,f1,f1_imb,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_ci_imbnnpu,0.631728045,0.874485269,0.238606259,0.268430184,0.739637643,0.576962023,0.12917363,0.352490553,0.635663735,0.105696162,f1,f1_ci_,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_max_imbnnpu,0.653177025,0.943201518,0.256527402,0.800112665,0.82217537,0.651897841,0.219742596,0.410741535,0.742290686,0.157811143,f1,f1_max,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roc_dt_hd,0.863823418,0.929821029,0.798037924,0.739796327,0.917683539,0.858067406,0.572625571,0.678825137,0.795461465,0.603613281,ro,roc_dt,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap_dt_hd,0.383659334,0.804228123,0.177479717,0.371366667,0.735923617,0.485740778,0.044101152,0.178086328,0.467110919,0.065209907,ap,ap_dt_,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_dt_hd,0.298462623,0.84525695,0.047674638,0.508745421,0.807685006,0.437917607,0.025,0.12632412,0.577251816,0.011111111,f1,f1_dt_,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_ci_dt_hd,0.344084085,0.878809565,0.23308462,0.525412088,0.743222766,0.345784587,0.107860165,0.247394564,0.294463749,0.111823829,f1,f1_ci_,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_max_dt_hd,0.462519235,0.882543842,0.254314621,0.525412088,0.829199076,0.577561826,0.118209002,0.263153522,0.637632659,0.142365286,f1,f1_max,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roc_dt_puhd,0.86496962,0.929791142,0.79862894,0.764771285,0.914011567,0.857585568,0.583881279,0.684921448,0.784136271,0.605977236,ro,roc_dt,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap_dt_puhd,0.405953237,0.800840629,0.180090031,0.398177273,0.742679556,0.478790466,0.060136087,0.178471824,0.457621608,0.065535374,ap,ap_dt_,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
